TAXON_ORDER	CATEGORY	SPECIES_CODE	PRIMARY_COM_NAME	SCI_NAME	ORDER1	FAMILY	SPECIES_GROUP	REPORT_AS	ott_id	name	rank	tax_sources	flags	match_type	bio_concept_code
1	species	ostric2	Common Ostrich	Struthio camelus	Struthioniformes	Struthionidae (Ostriches)	Ostriches		647692	Struthio camelus	species	ncbi:8801,gbif:2495150,irmng:10199490		canonical_match	2247CB05
6	species	ostric3	Somali Ostrich	Struthio molybdophanes	Struthioniformes	Struthionidae (Ostriches)			3600823	Struthio molybdophanes	species	gbif:2495149		canonical_match	40329BB6
8	species	grerhe1	Greater Rhea	Rhea americana	Rheiformes	Rheidae (Rheas)	Rheas		857864	Rhea americana	species	ncbi:8797,gbif:2495165,irmng:10199491,irmng:10538314		canonical_match	00986B24
14	species	lesrhe2	Lesser Rhea	Rhea pennata	Rheiformes	Rheidae (Rheas)			857860	Pterocnemia pennata	species	ncbi:8795,gbif:2495160,irmng:10217785,irmng:10199492		synonym_match	590ADF92
19	species	tabtin1	Tawny-breasted Tinamou	Nothocercus julius	Tinamiformes	Tinamidae (Tinamous)	Tinamous		3600814	Nothocercus julius	species	gbif:2477472,irmng:10218702		canonical_match	5FB99321
20	species	higtin1	Highland Tinamou	Nothocercus bonapartei	Tinamiformes	Tinamidae (Tinamous)			3600815	Nothocercus bonapartei	species	gbif:2477473,irmng:10594160		canonical_match	66C31E09
27	species	hootin1	Hooded Tinamou	Nothocercus nigrocapillus	Tinamiformes	Tinamidae (Tinamous)			3600813	Nothocercus nigrocapillus	species	ncbi:1977171,gbif:2477469,irmng:11109001		canonical_match	68E763AE
30	species	grytin1	Gray Tinamou	Tinamus tao	Tinamiformes	Tinamidae (Tinamous)			466704	Tinamus tao	species	ncbi:69492,gbif:2477622,irmng:11161128		canonical_match	346D16D5
35	species	soltin1	Solitary Tinamou	Tinamus solitarius	Tinamiformes	Tinamidae (Tinamous)			3600785	Tinamus solitarius	species	ncbi:2496573,gbif:2477627,irmng:10587785		canonical_match	67E5E0FA
36	species	blatin1	Black Tinamou	Tinamus osgoodi	Tinamiformes	Tinamidae (Tinamous)			3600786	Tinamus osgoodi	species	gbif:2477618,irmng:10190394		canonical_match	63C5F122
39	species	gretin1	Great Tinamou	Tinamus major	Tinamiformes	Tinamidae (Tinamous)			402466	Tinamus major	species	ncbi:30468,gbif:2477630,irmng:11131605		canonical_match	42D72AE1
52	species	whttin1	White-throated Tinamou	Tinamus guttatus	Tinamiformes	Tinamidae (Tinamous)			306216	Tinamus guttatus	species	ncbi:94827,gbif:2477621,irmng:10895804		canonical_match	0480B7C9
54	species	cintin1	Cinereous Tinamou	Crypturellus cinereus	Tinamiformes	Tinamidae (Tinamous)			647586	Crypturellus cinereus	species	ncbi:1118537,gbif:2477533,irmng:10190417		canonical_match	7C90F8DB
55	species	bertin1	Berlepsch's Tinamou	Crypturellus berlepschi	Tinamiformes	Tinamidae (Tinamous)			3600796	Crypturellus berlepschi	species	gbif:2477528,irmng:10218703		canonical_match	9B036853
56	species	littin1	Little Tinamou	Crypturellus soui	Tinamiformes	Tinamidae (Tinamous)			960236	Crypturellus soui	species	ncbi:458187,gbif:2477507,irmng:10200033		canonical_match	39DD9DD7
71	species	teptin1	Tepui Tinamou	Crypturellus ptaritepui	Tinamiformes	Tinamidae (Tinamous)			3600793	Crypturellus ptaritepui	species	gbif:2477506,irmng:10199755		canonical_match	F5F9A63F
72	species	brotin1	Brown Tinamou	Crypturellus obsoletus	Tinamiformes	Tinamidae (Tinamous)			983480	Crypturellus obsoletus	species	ncbi:858303,gbif:2477535,irmng:10190420		canonical_match	D624C373
83	species	undtin1	Undulated Tinamou	Crypturellus undulatus	Tinamiformes	Tinamidae (Tinamous)			870607	Crypturellus undulatus	species	ncbi:48396,gbif:2477560,irmng:11434238		canonical_match	7A600A0F
90	species	pabtin1	Pale-browed Tinamou	Crypturellus transfasciatus	Tinamiformes	Tinamidae (Tinamous)			3600794	Crypturellus transfasciatus	species	gbif:2477545,irmng:10975537		canonical_match	D303E7FF
91	species	bratin1	Brazilian Tinamou	Crypturellus strigulosus	Tinamiformes	Tinamidae (Tinamous)			167137	Crypturellus strigulosus	species	ncbi:135192,gbif:2477559,irmng:10199773		canonical_match	FE2B5A6B
92	species	gyltin1	Gray-legged Tinamou	Crypturellus duidae	Tinamiformes	Tinamidae (Tinamous)			3600790	Crypturellus duidae	species	gbif:2477534,irmng:10190418		canonical_match	D2592D39
93	species	reltin1	Red-legged Tinamou	Crypturellus erythropus	Tinamiformes	Tinamidae (Tinamous)			589927	Crypturellus erythropus	species	ncbi:1118538,gbif:2477546,irmng:11437948		canonical_match	4E03F38D
101	species	yeltin1	Yellow-legged Tinamou	Crypturellus noctivagus	Tinamiformes	Tinamidae (Tinamous)			3600789	Crypturellus noctivagus	species	gbif:2477503,irmng:10190419		canonical_match	7507BE36
104	species	blctin1	Black-capped Tinamou	Crypturellus atrocapillus	Tinamiformes	Tinamidae (Tinamous)			3600795	Crypturellus atrocapillus	species	gbif:2477529,irmng:10765556		canonical_match	41631439
107	species	slbtin1	Slaty-breasted Tinamou	Crypturellus boucardi	Tinamiformes	Tinamidae (Tinamous)			3600799	Crypturellus boucardi	species	gbif:2477567,irmng:10456566		canonical_match	5183B60E
110	species	chotin1	Choco Tinamou	Crypturellus kerriae	Tinamiformes	Tinamidae (Tinamous)			3600797	Crypturellus kerriae	species	gbif:2477557,irmng:11212346		canonical_match	2ED97B54
111	species	vartin1	Variegated Tinamou	Crypturellus variegatus	Tinamiformes	Tinamidae (Tinamous)			983483	Crypturellus variegatus	species	ncbi:858304,gbif:2477527,irmng:10199774		canonical_match	F8BBC7A7
112	species	thitin1	Thicket Tinamou	Crypturellus cinnamomeus	Tinamiformes	Tinamidae (Tinamous)			3600791	Crypturellus cinnamomeus	species	ncbi:889801,gbif:2477493,irmng:10855354		canonical_match	AAB5CEED
123	species	rustin1	Rusty Tinamou	Crypturellus brevirostris	Tinamiformes	Tinamidae (Tinamous)			647584	Crypturellus brevirostris	species	ncbi:1118536,gbif:2477532,irmng:11234105		canonical_match	45EE168A
124	species	bartin2	Bartlett's Tinamou	Crypturellus bartletti	Tinamiformes	Tinamidae (Tinamous)			3600798	Crypturellus bartletti	species	gbif:2477556,irmng:11280190		canonical_match	88B9ABC1
125	species	smbtin1	Small-billed Tinamou	Crypturellus parvirostris	Tinamiformes	Tinamidae (Tinamous)			379420	Crypturellus parvirostris	species	ncbi:198471,gbif:2477558,irmng:11295728		canonical_match	2988DEC6
126	species	bartin1	Barred Tinamou	Crypturellus casiquiare	Tinamiformes	Tinamidae (Tinamous)			3600788	Crypturellus casiquiare	species	gbif:2477570,irmng:11037730		canonical_match	26D1CE28
127	species	tattin1	Tataupa Tinamou	Crypturellus tataupa	Tinamiformes	Tinamidae (Tinamous)			758347	Crypturellus tataupa	species	ncbi:57238,gbif:2477522,irmng:10761827		canonical_match	9C7F2C57
133	species	rewtin1	Red-winged Tinamou	Rhynchotus rufescens	Tinamiformes	Tinamidae (Tinamous)			224379	Rhynchotus rufescens	species	ncbi:30466,gbif:2477464,irmng:10199775		canonical_match	C141F60A
137	species	huatin1	Huayco Tinamou	Rhynchotus maculicollis	Tinamiformes	Tinamidae (Tinamous)			3600787	Rhynchotus maculicollis	species	gbif:2477462,irmng:10990144		canonical_match	94AF5DC7
138	species	tactin1	Taczanowski's Tinamou	Nothoprocta taczanowskii	Tinamiformes	Tinamidae (Tinamous)			3600803	Nothoprocta taczanowskii	species	gbif:2477596,irmng:10218990		canonical_match	368EC295
139	species	orntin1	Ornate Tinamou	Nothoprocta ornata	Tinamiformes	Tinamidae (Tinamous)			332613	Nothoprocta ornata	species	ncbi:83376,gbif:2477575,irmng:11309803		canonical_match	286A2FBA
143	species	chitin1	Chilean Tinamou	Nothoprocta perdicaria	Tinamiformes	Tinamidae (Tinamous)			402446	Nothoprocta perdicaria	species	ncbi:30464,gbif:2477581,irmng:10764045		canonical_match	F900EE88
146	species	brutin1	Brushland Tinamou	Nothoprocta cinerascens	Tinamiformes	Tinamidae (Tinamous)			292464	Nothoprocta cinerascens	species	ncbi:8807,gbif:2477593,irmng:10218991		canonical_match	4C8BCEC2
149	species	andtin1	Andean Tinamou	Nothoprocta pentlandii	Tinamiformes	Tinamidae (Tinamous)			3600805	Nothoprocta pentlandii	species	gbif:2477584,irmng:10899285		canonical_match	7A66539A
157	species	cubtin1	Curve-billed Tinamou	Nothoprocta curvirostris	Tinamiformes	Tinamidae (Tinamous)			3600806	Nothoprocta curvirostris	species	gbif:2477572,irmng:10855286		canonical_match	F68CA24D
161	species	whbnot1	White-bellied Nothura	Nothura boraquira	Tinamiformes	Tinamidae (Tinamous)			3600801	Nothura boraquira	species	gbif:2477599,irmng:10940145		canonical_match	458340C7
162	species	lesnot1	Lesser Nothura	Nothura minor	Tinamiformes	Tinamidae (Tinamous)			3600800	Nothura minor	species	gbif:2477598,irmng:11303108		canonical_match	99D7964C
163	species	darnot1	Darwin's Nothura	Nothura darwinii	Tinamiformes	Tinamidae (Tinamous)			892275	Nothura darwinii	species	ncbi:555278,gbif:2477610,irmng:10218992		canonical_match	F7D16275
169	species	sponot1	Spotted Nothura	Nothura maculosa	Tinamiformes	Tinamidae (Tinamous)			892276	Nothura maculosa	species	ncbi:555279,gbif:2477600,irmng:11110312		canonical_match	03C3DDFB
179	species	dwatin1	Dwarf Tinamou	Taoniscus nanus	Tinamiformes	Tinamidae (Tinamous)			3600811	Taoniscus nanus	species	gbif:2477457,irmng:10218993		canonical_match	B62C4561
180	species	elctin1	Elegant Crested-Tinamou	Eudromia elegans	Tinamiformes	Tinamidae (Tinamous)			292461	Eudromia elegans	species	ncbi:8805,gbif:5228704,irmng:10761828		canonical_match	4E215E82
191	species	quctin1	Quebracho Crested-Tinamou	Eudromia formosa	Tinamiformes	Tinamidae (Tinamous)			784522	Eudromia formosa	species	ncbi:1109040,gbif:5228703,irmng:11097438		canonical_match	9337459C
194	species	puntin1	Puna Tinamou	Tinamotis pentlandii	Tinamiformes	Tinamidae (Tinamous)			599078	Tinamotis pentlandii	species	ncbi:555361,gbif:2477459,irmng:11008958		canonical_match	0A51B426
195	species	pattin1	Patagonian Tinamou	Tinamotis ingoufi	Tinamiformes	Tinamidae (Tinamous)			599077	Tinamotis ingoufi	species	ncbi:555360,gbif:2477460,irmng:10199778		canonical_match	EC451D91
197	species	soucas1	Southern Cassowary	Casuarius casuarius	Casuariiformes	Casuariidae (Cassowaries and Emu)	Cassowaries and Emu		589152	Casuarius casuarius	species	ncbi:8787,gbif:5231783,irmng:10594159		canonical_match	8B9D93D8
198	species	dwacas1	Dwarf Cassowary	Casuarius bennetti	Casuariiformes	Casuariidae (Cassowaries and Emu)			402459	Casuarius bennetti	species	ncbi:30463,gbif:5231784,irmng:10453655		canonical_match	7751E0D1
